role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack,Predicted_Class
Senior,Business Analyst,35,29,2,4,4,35,26,1,'2/5
Trainee,Data Analyst,29,10,1,1,1,47,19,1,'1/5
Senior,Database Administrator,29,17,4,1,13,6,17,3,'4/5
Senior,Data Analyst,48,14,4,5,8,21,12,2,'2/5
Trainee,Data Analyst,33,8,3,3,18,13,5,4,'4/5
Trainee,Business Analyst,22,4,4,5,9,47,9,2,'2/5
Senior,System Administrator,32,26,1,3,13,28,36,4,'4/5
Junior,DevOps Engineer,52,16,5,3,3,49,28,2,'2/5
Senior,UX Designer,38,24,3,2,18,15,5,4,'4/5
Senior,Business Analyst,54,13,1,2,10,47,38,4,'4/5
Senior,Data Scientist,53,22,3,2,5,33,10,1,'1/5
Senior,Software Engineer,41,18,4,5,16,22,14,3,'5/5
Junior,Data Analyst,27,5,3,4,6,12,20,2,'2/5
Trainee,QA Engineer,24,2,2,3,4,9,25,1,'2/5
Senior,Project Manager,46,20,5,5,22,18,8,4,'5/5
Junior,UX Designer,31,7,3,4,10,14,17,3,'3/5
Senior,DevOps Engineer,39,15,4,4,13,27,6,4,'3/5
Trainee,System Administrator,23,1,2,2,3,8,30,1,'2/5
Senior,Data Scientist,50,25,5,5,20,19,12,5,'5/5
Junior,Business Analyst,29,6,3,3,7,10,15,2,'2/5
Senior,Database Administrator,45,21,4,4,18,23,9,3,'5/5
Trainee,Software Engineer,26,3,3,3,5,11,28,2,'2/5
